ID,Feature Name,Category,Description,Target Audience,Effort,Value,Notes
1,Interactive Moody Chart,Engineer Tool,"Clickable Moody diagram — enter Re and ε/D and see your exact point plotted. Friction factor read off automatically. Includes flow regime shading.",Engineers,Medium,High,Most-used reference in pipeline work. Clean web versions barely exist.
2,Pipe Run Designer,Engineer Tool,"Build a pipe run with straight sections and fittings (elbows, tees, valves, reducers) one by one. Outputs total pressure drop, velocity, head loss, and flow regime.",Engineers,Medium,High,Replaces the bespoke Excel sheet every engineer builds. High daily-use potential.
3,Pump System Curve Builder,Engineer Tool,"Enter pipe system parameters to generate the system curve (H vs Q). Overlay a manually-entered pump curve to find the operating point graphically.",Engineers,High,High,HVAC and process engineers do this for every pump selection. Nothing clean exists for free.
4,Fluid Properties at Any Temperature,Both,"Select a fluid and enter temperature (and pressure for gases). Returns all properties — ρ, μ, ν, k, Cp, Pr — via interpolation. Covers water, air, glycol, common refrigerants.",Both,Low,High,Engineers work at non-standard temperatures constantly. More useful than static tables.
5,Pipe Network Solver,Engineer Tool,"Define a looped or branched pipe network with nodes, pipe segments, and demands. Solve for flow distribution and pressure at each node using Hardy-Cross iteration.",Engineers,High,High,Civil and water supply engineers need quick network checks. EPANET is overkill for simple cases.
6,Control Valve Cv and Orifice Sizing,Engineer Tool,"Given fluid, flow rate, and allowable pressure drop: compute required Cv for a control valve or size an orifice plate / venturi meter.",Engineers,Low,High,Process instrumentation engineers run these calculations constantly. Simple but underserved.
7,Water Hammer and Surge Pressure,Engineer Tool,"Given valve closure time and pipe parameters, compute pressure surge (Joukowski), wave speed, and critical closure time. Flags dangerous conditions.",Engineers,Low,Medium,Relevant for pipeline, water utility, and valve schedule design. Rarely found as a free clean tool.
8,Hydraulic Cylinder and Power Calculator,Engineer Tool,"Calculate force, speed, and flow requirements for hydraulic cylinders. Pump displacement, line velocity, and pressure for hydraulic circuits.",Engineers,Low,Medium,Used by machine designers and heavy equipment engineers. Simple physics but very underserved.
9,Heat Exchanger Quick-Sizer,Engineer Tool,"Given two fluid streams (inlet/outlet temps, flow rates), calculate duty, LMTD, and estimate required area for a given overall U-value. Shell-and-tube and plate options.",Engineers,Medium,Medium,Chemical and process engineers use this as a first-pass before detailed design software.
10,Vortex Shedding and Pipe Vibration Check,Engineer Tool,"Given flow velocity and pipe/tube geometry, compute Strouhal vortex shedding frequency and compare to pipe natural frequency. Flags resonance risk.",Engineers,Low,Medium,Used when checking pipe spans and heat exchanger tube bundles. Very hard to find elsewhere.
